objeto,tipo,estado,lineas,en_prod,invocadores,reportes,creacion,modificacion,escribe,motivo
PO.SP_PR_COBRANZA_ENC_AGR,StoredProcedure,Vigente sin invocador conocido,31,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_COBRANZA_ENC_LST,StoredProcedure,Vigente sin invocador conocido,23,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_COBRANZA_ENC_SEL,StoredProcedure,Vigente sin invocador conocido,26,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_COBRANZA_EST_ACT,StoredProcedure,Vigente sin invocador conocido,24,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_COBRANZA_IMPORTA,StoredProcedure,Vigente sin invocador conocido,284,si,0,0,20250731,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_DEVENGO_ENC_AGR,StoredProcedure,Vigente sin invocador conocido,31,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_DEVENGO_ENC_LST,StoredProcedure,Vigente sin invocador conocido,23,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_DEVENGO_ENC_SEL,StoredProcedure,Vigente sin invocador conocido,26,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_DEVENGO_EST_ACT,StoredProcedure,Vigente sin invocador conocido,24,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_DEVENGO_IMPORTA,StoredProcedure,Vigente sin invocador conocido,204,si,0,0,20250731,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_MINISTRACION_ENC_AGR,StoredProcedure,Vigente sin invocador conocido,31,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_MINISTRACION_ENC_LST,StoredProcedure,Vigente sin invocador conocido,27,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_MINISTRACION_ENC_SEL,StoredProcedure,Vigente sin invocador conocido,25,si,0,0,20250725,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_MINISTRACION_EST_ACT,StoredProcedure,Vigente sin invocador conocido,24,si,0,0,20250725,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_PR_MINISTRACION_IMPORTA,StoredProcedure,Vigente sin invocador conocido,126,si,0,0,20250731,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_CIERRE_LIS,StoredProcedure,Vigente sin invocador conocido,30,si,0,0,20241209,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_CREDITO_TIPO_FALTANTE,StoredProcedure,Vigente sin invocador conocido,26,si,0,0,20250310,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_IMPAGO_AGR,StoredProcedure,Vigente sin invocador conocido,32,si,0,0,20241129,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_CUENTAS_DYN_VAL,StoredProcedure,Vigente sin invocador conocido,64,si,0,0,20250220,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_DIARIA,StoredProcedure,Vigente sin invocador conocido,156,si,0,0,,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_1P_CON,StoredProcedure,Vigente sin invocador conocido,96,si,0,0,20240913,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_1P_ERR_LIS,StoredProcedure,Vigente sin invocador conocido,29,si,0,0,20250221,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_1P_ESTADO_ACT,StoredProcedure,Vigente sin invocador conocido,35,si,0,0,20240913,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_1P_ESTADO_REP,StoredProcedure,Vigente sin invocador conocido,35,si,0,0,20250219,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_1P_LIS,StoredProcedure,Vigente sin invocador conocido,26,si,0,0,20240913,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_CON,StoredProcedure,Vigente sin invocador conocido,42,si,0,0,20240913,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_ESTADO_ACT,StoredProcedure,Vigente sin invocador conocido,37,si,0,0,20240913,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_ESTADO_REP,StoredProcedure,Vigente sin invocador conocido,50,si,0,0,20240913,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_POLIZA_ENVIO_LIS,StoredProcedure,Vigente sin invocador conocido,26,si,0,0,20260720,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SAF_UMA_AGR,StoredProcedure,Vigente sin invocador conocido,32,si,0,0,20240810,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SP_SND_POLIZA_DIARIA,StoredProcedure,Vigente sin invocador conocido,215,si,0,0,,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_ACTUALIZA_ESTADO_POLIZA,StoredProcedure,Vigente sin invocador conocido,16,si,0,0,,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_CATALOGO_CONCEPTOS,StoredProcedure,Vigente sin invocador conocido,552,si,0,0,,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_CUENTA_AGR,StoredProcedure,Vigente sin invocador conocido,106,si,0,0,20240405,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_CUENTA_BUSCAR,StoredProcedure,Vigente sin invocador conocido,28,si,0,0,20240625,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_CUENTA_ELI,StoredProcedure,Vigente sin invocador conocido,32,si,0,0,20240603,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_LISTA_EXCEPCIONES,StoredProcedure,Vigente sin invocador conocido,13,si,0,0,,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.SYS_SP_REGISTRO_AVALUO,StoredProcedure,Vigente sin invocador conocido,50,si,0,0,,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
PO.VALIDAR_ID_EXTERNO,StoredProcedure,Vigente sin invocador conocido,19,si,0,0,20240612,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_DESACTIVA,StoredProcedure,Vigente sin invocador conocido,22,si,0,0,20260423,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_DEST,StoredProcedure,Vigente sin invocador conocido,24,si,0,0,20260416,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_DEST_SEL,StoredProcedure,Vigente sin invocador conocido,20,si,0,0,20260416,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_ENVIO,StoredProcedure,Vigente sin invocador conocido,126,si,0,0,20260414,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_ENVIO_DEST,StoredProcedure,Vigente sin invocador conocido,19,si,0,0,20260416,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_IMPORTA,StoredProcedure,Vigente sin invocador conocido,179,si,0,0,20260408,,si,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
SAF.SP_TASAS_ALERTAS_VALIDA,StoredProcedure,Vigente sin invocador conocido,68,si,0,0,20260408,,no,"existe en el export de BD_prod; nadie lo invoca dentro del repositorio, asi que su disparo tiene que estar fuera (job, CAS o ejecucion manual)"
